"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1180,0.137,0.096,0.177,0.24990682186945,0.19060279700500,0.16840672778227,0.181,0.275,0.194,0.129,0.264,0.142,0.095,0.361,0.149,0.250,,
1182,0.137,0.092,0.175,0.24945720144809,0.18571546580406,0.16199590176667,0.176,0.276,0.192,0.121,0.261,0.145,0.096,0.347,0.148,0.241,,
1184,0.140,0.091,0.169,0.24843255588840,0.18563882586890,0.16660048977033,0.171,0.271,0.187,0.115,0.252,0.144,0.101,0.334,0.150,0.233,,
1186,0.137,0.095,0.166,0.24527266739650,0.18224212742973,0.17000235496113,0.185,0.270,0.191,0.121,0.247,0.145,0.102,0.338,0.144,0.227,,
1188,0.136,0.099,0.165,0.23922060324075,0.18110145226665,0.16359048865615,0.185,0.265,0.193,0.129,0.245,0.147,0.102,0.335,0.141,0.222,,
1190,0.136,0.100,0.162,0.23705003183956,0.18730560858231,0.16249531655315,0.179,0.251,0.182,0.125,0.239,0.148,0.100,0.336,0.143,0.222,,
1192,0.141,0.103,0.165,0.24131953101809,0.19434031502644,0.16553634112396,0.183,0.249,0.181,0.129,0.235,0.153,0.103,0.336,0.149,0.221,,
1194,0.148,0.106,0.171,0.23922956335748,0.20067009308483,0.16776756098804,0.181,0.251,0.186,0.139,0.246,0.151,0.101,0.333,0.155,0.224,,
1196,0.147,0.102,0.178,0.21994535904202,0.19850996021653,0.15790426381158,0.184,0.255,0.186,0.141,0.243,0.159,0.106,0.337,0.152,0.212,,
1198,0.148,0.100,0.176,0.20635588028418,0.19602822188669,0.15539610161637,0.186,0.256,0.190,0.127,0.239,0.161,0.116,0.324,0.159,0.224,,
1200,0.150,0.102,0.168,0.20999400626490,0.20124883667082,0.16055321562941,0.179,0.248,0.191,0.123,0.229,0.154,0.118,0.322,0.160,0.221,,
1202,0.143,0.085,0.164,0.20075782293169,0.19144661699357,0.15665671770700,0.156,0.229,0.180,0.125,0.226,0.150,0.112,0.323,0.147,0.212,,
