X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],out 1/O-PTIR (mV) [],out2/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],out4/O-PTIR (mV) [],out5/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) []
1449,83.1320724487305,242.735900878906,60.4413185119629,41.993221282959,31.9413623809814,16.5783462524414,105.662467956543,133.102188110352,15.3084688186646
1451,75.5759201049805,228.645126342773,62.9902191162109,44.149585723877,28.610372543335,14.2913942337036,101.263595581055,129.030136108398,16.4430274963379
1453,68.1594161987305,214.814758300781,65.4920120239258,46.2660865783691,25.3409461975098,12.0467090606689,96.9460067749023,125.033348083496,17.5566177368164
1455,66.4630508422852,211.855712890625,69.4340057373047,46.085823059082,25.2601890563965,12.1181545257568,96.4669342041016,125.981994628906,17.0123672485352
1457,64.5720062255859,209.491027832031,74.8721542358398,45.0890846252441,26.7286396026611,13.0332860946655,96.1528472900391,126.908248901367,17.9602432250977
1459,67.5513076782227,205.686447143555,77.3707122802734,49.5770797729492,26.4631462097168,13.0239353179932,92.75341796875,126.632293701172,16.4359283447266
1461,68.3050308227539,198.598114013672,74.7203826904297,48.9703941345215,26.2499389648438,13.8443899154663,87.4378280639648,123.315338134766,14.8829078674316
1463,67.1374053955078,197.36442565918,72.9956665039063,48.1539878845215,25.6847534179688,12.9106636047363,83.4777984619141,119.702117919922,13.8213415145874
1465,64.9722290039063,192.539306640625,68.1169052124023,49.5894737243652,25.8187732696533,12.8941516876221,82.0335845947266,115.560791015625,12.69886302948
1467,61.5755004882813,186.030120849609,63.166633605957,46.7264709472656,24.5938835144043,13.1500425338745,76.2047500610352,112.664611816406,10.0585346221924
1469,58.274787902832,182.157821655273,58.3989334106445,46.193000793457,23.2779903411865,12.7446775436401,71.4808654785156,106.702491760254,7.1192569732666
1471,55.6636657714844,175.560897827148,52.0352745056152,43.2532958984375,22.0677661895752,10.9984521865845,68.6226806640625,101.077079772949,7.33815240859985
1473,49.6132926940918,168.042907714844,46.7077751159668,39.7167129516602,19.8177738189697,9.28944206237793,66.5293350219727,94.5382919311523,7.89562034606934
